time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance
98304,48,465,2.241271,211,-37.96011238098144,-0.007260500369011424,0.166015625,0.00025,65.92147064208984,0.2,1.0425117015838623,119.19245176315307,470,0.0123276,0.11029493808746338
100352,49,473,-12.1043,211,-37.97530755996704,-0.006255004613194615,0.11923828125,0.00025,245.7642822265625,0.2,1.0428751707077026,333.3814778804779,480,0.026794337,0.01616501808166504
102400,50,482,-1.4607661,212,-37.98429851531982,-0.008764654624974355,0.052490234375,0.00025,137.89669799804688,0.2,1.0433244705200195,188.65432109832764,490,0.009559466,0.23973166942596436
104448,51,491,0.54959375,212,-38.02543790340424,-0.0007324202480958775,0.335107421875,0.00025,18.302017211914062,0.2,1.0466575622558594,32.09726394414902,500,0.036338236,0.14249837398529053
106496,52,501,1.6375681,212,-38.077209281921384,-0.004834391927579418,0.150390625,0.00025,70.28377532958984,0.2,1.0467593669891357,195.50441780090333,510,0.012131967,0.10172957181930542
108544,53,510,1.9012009,212,-38.07942659854889,-0.009766204739571549,0.0974609375,0.00025,69.64643096923828,0.2,1.0471466779708862,158.27390084266662,520,0.009913839,0.1700567603111267
110592,54,518,9.059425,213,-38.08472676277161,-0.0029493928370357024,0.141845703125,0.00025,144.4667205810547,0.2,1.0469826459884644,208.02797603607178,530,0.016712252,0.02702099084854126
112640,55,528,1.6855375,213,-38.086836433410646,-0.008631460237666033,0.058447265625,0.00025,242.82086181640625,0.2,1.047394871711731,458.66152200698855,540,0.00821786,0.08454662561416626
114688,56,537,0.5916678,213,-38.12114040851593,0.010633358691120521,0.351416015625,0.00025,14.716636657714844,0.2,1.049844741821289,34.74718267917633,550,0.025487281,0.3629016876220703
116736,57,546,-7.3501415,213,-38.155374908447264,-0.005547237895370927,0.07841796875,0.00025,240.20855712890625,0.2,1.0501289367675781,384.533713722229,560,0.007993283,0.12306302785873413
118784,58,555,5.7208366,213,-38.165159296989444,-0.008372152836818714,0.1013671875,0.00025,128.8004150390625,0.2,1.0506043434143066,320.164265871048,570,0.010584234,0.07265985012054443
120832,59,564,-0.6038022,214,-38.17302098274231,-0.009607590557425282,0.126025390625,0.00025,25.28430938720703,0.2,1.051076889038086,65.12592904567718,580,0.016814785,0.4173243045806885
122880,60,573,5.024372,214,-38.18421983718872,-0.005659087793901563,0.07314453125,0.00025,237.59475708007812,0.2,1.0513668060302734,351.9849255561829,590,0.0070609236,0.28828638792037964
124928,61,582,-0.54867715,214,-38.191783618927005,-0.009325060425908305,0.181201171875,0.00025,19.275657653808594,0.2,1.0517914295196533,52.58633295297623,600,0.01999132,0.2363489866256714
126976,62,591,3.9941924,214,-38.20502483844757,-0.011175131228810642,0.0875,0.00025,101.18901824951172,0.2,1.0524682998657227,272.5553953170776,610,0.010541607,0.2262505292892456
129024,63,601,0.31284595,214,-38.226950120925906,-0.005090952858154196,0.096337890625,0.00025,153.21580505371094,0.2,1.0534428358078003,231.61549706459044,620,0.013926595,0.24903005361557007
131072,64,610,2.2029161,214,-38.2640077829361,-0.008973801984393504,0.15673828125,0.00025,34.893985748291016,0.2,1.0550100803375244,68.04221075773239,630,0.013916554,0.2041497826576233
133120,65,619,0.87554234,214,-38.28285200595856,-0.004801533526915591,0.047998046875,0.00025,126.60265350341797,0.2,1.0554555654525757,407.0468897342682,640,0.008201457,0.17095738649368286
135168,66,629,-1.607115,214,-38.29665820598602,-0.0017816428473452107,0.248681640625,0.00025,73.82318115234375,0.2,1.056182622909546,131.08091955184938,650,0.01487264,0.3737223744392395
137216,67,638,-3.8710856,215,-38.30804214477539,-0.006371324177598581,0.10185546875,0.00025,139.0894012451172,0.2,1.0563539266586304,330.6492902755737,660,0.008985246,0.2601780891418457
139264,68,647,0.318856,215,-38.31520574092865,-0.005436178896343335,0.190966796875,0.00025,198.83218383789062,0.2,1.056797742843628,284.75125374794004,670,0.027751632,0.36598849296569824
141312,69,656,-0.20828414,215,-38.33750855922699,-0.008459308472811244,0.227197265625,0.00025,13.365999221801758,0.2,1.0588873624801636,37.37878700494766,680,0.031485327,0.5067225396633148
143360,70,665,3.3623326,215,-38.427708172798155,-0.008400972779782023,0.275634765625,0.00025,28.819547653198242,0.2,1.0634089708328247,95.93457157611847,690,0.02387254,0.39507555961608887
145408,71,673,1.2735406,215,-38.49220235347748,-0.01079225321591366,0.123486328125,0.00025,34.00006103515625,0.2,1.0640838146209717,71.34462704658509,700,0.011768987,0.34984350204467773
