train/entropy_loss,train/learning_rate,time/time_elapsed,train/std,train/policy_loss,train/n_updates,train/value_loss,time/fps,time/total_timesteps,time/iterations,train/reward,train/explained_variance
-37.851654052734375,0.0007,319,1.0387868881225586,-112.2588882446289,7999,87.25064086914062,125,40000,8000,5.158159,0.0
-37.84320831298828,0.0007,322,1.0382369756698608,-0.8904358148574829,8099,0.25945454835891724,125,40500,8100,-0.0074435766,0.0
-37.83987045288086,0.0007,326,1.0383273363113403,-46.35386276245117,8199,3.0994884967803955,125,41000,8200,0.1304829,0.0
-37.85551834106445,0.0007,330,1.0390349626541138,-185.3848876953125,8299,28.353954315185547,125,41500,8300,-1.5718006,0.0
-37.901668548583984,0.0007,334,1.0408214330673218,-77.91551208496094,8399,4.347038269042969,125,42000,8400,-0.5358291,-2.384185791015625e-07
-37.935123443603516,0.0007,337,1.0421955585479736,-905.7703247070312,8499,614.7356567382812,125,42500,8500,-4.1074853,0.0
-37.982337951660156,0.0007,341,1.0441311597824097,306.2528991699219,8599,95.31310272216797,125,43000,8600,3.6208053,0.0
-38.0,0.0007,345,1.0446882247924805,198.1627197265625,8699,46.87811279296875,126,43500,8700,0.82889193,0.0
-38.046539306640625,0.0007,348,1.0467082262039185,21.36284828186035,8799,11.856225967407227,126,44000,8800,-2.3125286,-0.06901061534881592
-38.03183364868164,0.0007,352,1.0463289022445679,-81.3858413696289,8899,5.672191619873047,126,44500,8900,-0.360176,0.0
-38.00173568725586,0.0007,356,1.0450153350830078,-183.35801696777344,8999,21.794321060180664,126,45000,9000,-0.75790155,0.0
-38.05613708496094,0.0007,360,1.0473856925964355,82.16282653808594,9099,5.4182538986206055,126,45500,9100,-1.6128024,-1.1920928955078125e-07
-38.02090835571289,0.0007,363,1.0457932949066162,127.0870590209961,9199,13.302592277526855,126,46000,9200,-1.0371412,-1.1920928955078125e-07
-37.977115631103516,0.0007,367,1.044421911239624,-42.29280471801758,9299,52.38996505737305,126,46500,9300,-5.3506336,5.960464477539063e-08
-38.00998306274414,0.0007,371,1.0455200672149658,-5.644708156585693,9399,0.07275757193565369,126,47000,9400,0.18175672,-0.2802842855453491
-38.07798767089844,0.0007,375,1.048102617263794,79.50518035888672,9499,5.763134002685547,126,47500,9500,-0.51251966,0.02915412187576294
-38.0916633605957,0.0007,379,1.0490697622299194,-31.759729385375977,9599,0.8661581873893738,126,48000,9600,0.03202137,1.1920928955078125e-07
-38.098655700683594,0.0007,383,1.0492256879806519,58.401702880859375,9699,7.3895583152771,126,48500,9700,-0.17503531,1.1920928955078125e-07
-38.11956787109375,0.0007,386,1.0505236387252808,-232.70297241210938,9799,61.086181640625,126,49000,9800,-0.98527926,1.1920928955078125e-07
-38.150856018066406,0.0007,390,1.0516331195831299,-1178.866455078125,9899,1329.9224853515625,126,49500,9900,30.171103,0.0
-38.154205322265625,0.0007,394,1.0517609119415283,-534.1702880859375,9999,230.18905639648438,126,50000,10000,21.077702,-1.1920928955078125e-07
