train/reward,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/std,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates
-0.5128874,191,114688,56,598,-0.018269963114289568,0.39521484375,1.7479887008666992,0.20274996757507324,0.2,4.15453623086214,1.089748740196228,0.00025,0.047491148,-46.5975564956665,550
-5.444261,191,116736,57,608,-0.012456555903190747,0.393115234375,0.8707565069198608,0.724463552236557,0.2,3.248467054963112,1.0950778722763062,0.00025,0.05147338,-46.70987102985382,560
1.9214878,191,118784,58,619,-0.009858046186855063,0.125244140625,14.572291374206543,0.08343565464019775,0.2,21.172189509868623,1.0956640243530273,0.00025,0.014447447,-46.796987247467044,570
-0.32657114,192,120832,59,628,-0.009743703142157755,0.205908203125,7.114139556884766,0.15373587608337402,0.2,19.83391633629799,1.097712516784668,0.00025,0.023444563,-46.837990856170656,580
0.59030116,192,122880,60,639,-0.008425197436008603,0.4189453125,0.8523707389831543,0.3946771025657654,0.2,2.5728746853768825,1.0986534357070923,0.00025,0.048877485,-46.87409131526947,590
-0.95554477,192,124928,61,649,-0.015545497901621274,0.28486328125,1.2861933708190918,0.4327734112739563,0.2,4.364658735692501,1.1006659269332886,0.00025,0.038821794,-46.91646635532379,600
0.53261566,192,126976,62,659,-0.017218968071392737,0.310693359375,1.59342360496521,0.46059471368789673,0.2,5.863699582219124,1.1035351753234863,0.00025,0.03544788,-46.97760066986084,610
-0.0056666527,192,129024,63,671,-0.02008066137204878,0.3365234375,0.7182937860488892,0.4930344820022583,0.2,3.625222073495388,1.105879306793213,0.00025,0.03097222,-47.0694078207016,620
0.78662497,192,131072,64,681,-0.014222831548249815,0.303125,1.6235105991363525,0.6085487902164459,0.2,4.004619325697422,1.1085727214813232,0.00025,0.03853451,-47.125195908546445,630
1.379928,192,133120,65,691,-0.014808171082404443,0.413623046875,1.1513971090316772,0.4668194055557251,0.2,5.246947820484638,1.111756682395935,0.00025,0.03669443,-47.217694234848025,640
-0.30241784,192,135168,66,701,-0.006582051340956241,0.23134765625,2.2301816940307617,0.18511754274368286,0.2,6.6082352817058565,1.1126044988632202,0.00025,0.022679972,-47.269810914993286,650
-3.0669692,192,137216,67,711,-0.010507973350468092,0.114306640625,22.82870864868164,0.12063562870025635,0.2,35.56907807588577,1.1136342287063599,0.00025,0.012504781,-47.29073474407196,660
0.5487378,193,139264,68,721,-0.010477109253406525,0.200439453125,17.70387077331543,0.13595038652420044,0.2,31.666922706365586,1.114061713218689,0.00025,0.014570673,-47.31549677848816,670
0.277587,193,141312,69,731,-0.015917909156996757,0.259228515625,6.151066303253174,0.25761276483535767,0.2,12.974468156695366,1.1158900260925293,0.00025,0.024831116,-47.34007151126862,680
-1.0783876,193,143360,70,741,-0.006579413847066462,0.128271484375,13.274653434753418,0.12897300720214844,0.2,34.79382662773132,1.1165143251419067,0.00025,0.012535681,-47.38014404773712,690
0.014068129,193,145408,71,751,-0.0006490689673228189,0.2880859375,5.048205375671387,0.19519829750061035,0.2,10.204216328263282,1.117554783821106,0.00025,0.030905183,-47.40234797000885,700
1.6803875,193,147456,72,761,-0.004712641006335616,0.20615234375,17.66940689086914,0.17385011911392212,0.2,43.7731635093689,1.118238925933838,0.00025,0.01722477,-47.42707207202911,710
0.5894175,193,149504,73,771,-0.009258958036662079,0.192431640625,21.680912017822266,0.19170868396759033,0.2,39.55886451005936,1.1189824342727661,0.00025,0.017748058,-47.4464254617691,720
1.0445709,193,151552,74,781,-0.02133980759535916,0.31220703125,2.265132427215576,0.42632782459259033,0.2,5.897468093037605,1.120227336883545,0.00025,0.04030717,-47.47486588954926,730
-0.4736428,194,153600,75,791,-0.01943303352309158,0.425732421875,1.8685593605041504,0.6168493628501892,0.2,4.314493682980538,1.123228669166565,0.00025,0.056619707,-47.53899064064026,740
