train/reward,time/total_timesteps,time/iterations,train/value_loss,train/std,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance
0.99880743,31500,6300,12.630483627319336,1.039302110671997,-114.3074951171875,108,0.0007,289,-45.11334991455078,6299,0.0
-0.25089532,32000,6400,3.277921199798584,1.0389920473098755,-51.322662353515625,108,0.0007,293,-45.108619689941406,6399,0.0
1.4676572,32500,6500,72.88199615478516,1.0382829904556274,364.9556579589844,108,0.0007,298,-45.09474563598633,6499,0.0
-3.9217925,33000,6600,205.55712890625,1.038150668144226,571.2322387695312,109,0.0007,302,-45.08629608154297,6599,0.0
-10.4394655,33500,6700,533.7281494140625,1.0398510694503784,-1081.904052734375,109,0.0007,307,-45.14373016357422,6699,0.0
2.574764,34000,6800,2.928715467453003,1.037948489189148,-19.90041732788086,109,0.0007,311,-45.08014678955078,6799,5.960464477539063e-08
1.4276068,34500,6900,2.2217040061950684,1.0393587350845337,-53.587181091308594,109,0.0007,316,-45.11992645263672,6899,0.0
0.33265004,35000,7000,14.905171394348145,1.0394505262374878,149.93441772460938,109,0.0007,320,-45.12705993652344,6999,5.960464477539063e-08
-1.821617,35500,7100,7.970678806304932,1.0404852628707886,34.447303771972656,109,0.0007,325,-45.159454345703125,7099,0.0
1.9904404,36000,7200,26.80374526977539,1.0423732995986938,-201.7296600341797,109,0.0007,329,-45.21223068237305,7199,0.0
1.1250445,36500,7300,66.37554168701172,1.0412949323654175,-324.9500427246094,109,0.0007,334,-45.1777458190918,7299,0.0
-1.0016832,37000,7400,6.35750675201416,1.0390775203704834,111.4908218383789,109,0.0007,338,-45.1068000793457,7399,-1.1920928955078125e-07
1.7055483,37500,7500,4.92727518081665,1.0413682460784912,83.18013763427734,109,0.0007,343,-45.17580032348633,7499,-1.1920928955078125e-07
-0.96683335,38000,7600,0.3394150733947754,1.0450923442840576,7.166607856750488,109,0.0007,347,-45.29627990722656,7599,-1.1920928955078125e-07
0.28209767,38500,7700,7.571272850036621,1.0473823547363281,60.49846267700195,109,0.0007,352,-45.3634147644043,7699,-1.1920928955078125e-07
2.472671,39000,7800,2.9487340450286865,1.0483821630477905,61.89844512939453,109,0.0007,356,-45.394927978515625,7799,0.0
3.7703493,39500,7900,160.21249389648438,1.0465514659881592,475.6995544433594,109,0.0007,361,-45.33702087402344,7899,-1.1920928955078125e-07
4.094737,40000,8000,67.18519592285156,1.0458627939224243,184.0960693359375,109,0.0007,365,-45.31279754638672,7999,0.0
